LMP,Load,Temperature
13.6,43.21,5.93
15.17,43.26,5.74
13.63,43.57,5.78
11.77,44.15,5.87
13.27,44.17,5.77
14.69,44.11,5.47
14.02,44.39,5.59
13.4,44.38,5.51
12.77,44.4,5.51
13.76,44.21,5.59
14.29,44.16,5.52
13.22,44.28,5.62
12.21,44.23,5.71
12.34,44.32,5.8
13.82,44.32,5.73
14.83,44.29,5.52
14.22,44.35,5.46
13.36,44.29,5.5
13.22,44.14,5.56
13.98,43.84,5.59
14.59,43.76,5.63
13.94,43.87,5.61
14.52,43.66,5.59
12.9,43.5,5.73
12.92,43.78,5.88
13.88,43.58,5.81
15.59,43.27,5.6
12.9,43.76,5.91
13.37,43.8,5.77
14.71,43.44,5.56
15.88,43.37,5.62
15.82,43.46,5.53
15.7,43.3,5.26
15.87,43.03,5.37
17.14,42.66,5.42
16.74,42.52,5.44
17.28,42.21,5.45
17.75,41.88,5.58
17.03,41.78,5.73
16.6,41.54,5.88
16.27,41.19,6.18
15.46,40.96,6.56
13.5,40.82,6.94
11.37,40.64,7.48
9.43,40.34,8.26
8.09,40.16,9.08
7.73,40.14,9.91
8.63,40.31,10.64
9.53,40.6,11.2
10.85,40.92,11.65
13.44,41.11,11.99
17.88,41.13,12.22
21.85,41.17,12.46
25.35,41.19,12.73
25.99,41.47,13.04
26.39,41.84,13.41
25.99,42.31,13.87
25.96,42.64,14.25
25.51,42.9,14.61
23.97,43.21,14.91
24.28,43.43,15.06
24.35,43.6,15.29
26.19,43.75,15.38
27.94,43.92,15.4
28.67,44.05,15.28
28.67,44.06,15.09
26.2,44.11,14.8
23.94,43.87,14.44
21.56,43.43,14.12
20.65,42.86,13.93
20.64,42.49,13.96
22.54,42.35,13.82
23.21,42.2,13.45
20.57,41.93,12.83
12.08,42.29,12.7
11.09,43.08,12.97
18.56,43.17,13.93
25.45,42.51,14.81
14,57.14,34.55
13.68,57.34,34.52
14.16,58.01,34.26
15.79,58.65,33.76
18.22,59.37,33.14
21.43,60.22,32.45
25.44,61.17,31.74
30.24,62.05,31.03
34.97,62.97,30.41
39.24,63.97,29.93
43.83,64.99,29.44
48.39,65.96,29.03
53.73,66.83,28.65
60.1,67.76,28.26
67.68,68.49,28.04
76.53,69.05,28.07
84.34,69.87,28.26
89.3,70.67,28.5
92.93,71.65,28.53
99.93,72.38,28.35
108.68,73.08,28.29
115.64,73.53,28.49
123.02,73.77,28.68
125.43,74.21,28.85
129.51,74.65,28.91
132.41,74.97,28.95
136.29,74.97,29.08
140.45,74.97,29.18
145.82,74.97,29.3
149.45,74.97,29.42
154.48,74.97,29.56
155.31,74.97,29.85
156.95,74.97,30.01
150.35,74.97,30.15
140.05,74.97,30.3
112.98,74.97,30.97
72.76,73.44,32.73
44.34,70.73,34.3
24.29,68.54,35.5
12.96,67.14,36.35
7.62,66.75,36.7
10.04,66.33,36.64
23.95,66.48,35.59
61.65,66.2,33.88
86.2,66.21,33.6
57.3,66.38,34.62
27.52,65.31,35.42
13.11,62.51,35.72
7.17,59.59,35.63
4.82,57.42,35.38
4.12,55.78,35.08
4.29,54.45,34.67
4.32,53.57,34.07
4.84,52.68,33.41
5.09,52.03,32.73
5.7,51.28,31.96
6.28,50.7,31.2
7.2,49.98,30.47
7.99,49.46,29.8
8.93,48.91,29.19
9.79,48.45,28.76
10.64,48.09,28.37
11.29,47.78,28.14
11.82,47.56,27.95
12.17,47.35,27.79
12.5,47.22,27.69
12.6,47.15,27.57
12.89,47.05,27.54
13.19,46.96,27.54
13.32,46.9,27.55
13.41,46.93,27.56
13.27,46.94,27.57
13.25,46.95,27.62
13.22,46.94,27.62
13.24,46.95,27.62
13.29,46.94,27.62
13.15,46.96,27.59
13.14,47,27.55
13.27,46.96,27.6
13.21,47,27.59
13.21,46.98,27.61
13.06,47.02,27.57
13.14,46.96,27.6
13.07,46.94,27.57
13.09,46.92,27.55
12.96,46.95,27.53
13.05,46.9,27.56
13.02,46.9,27.63
12.89,46.91,27.64
12.9,46.9,27.69
12.62,46.92,27.7
12.47,46.94,27.75
12.5,46.94,27.83
12.36,46.96,27.87
12.01,47.05,27.89
11.95,47.01,27.87
6.65,53,32.64
6.58,53.16,32.48
6.33,53.07,32.36
6.5,52.93,31.91
6.78,52.47,31.4
7.64,52.16,30.76
8.52,51.65,30.3
9.08,51.33,29.73
10.11,50.87,29.31
10.99,50.52,29
11.6,50.24,28.68
12.31,49.99,28.53
12.76,49.78,28.4
12.84,49.68,28.25
13.04,49.58,28.15
13.35,49.41,28.02
13.69,49.34,27.91
13.91,49.25,27.91
13.88,49.24,27.85
14.05,49.18,27.79
14.15,49.16,27.77
14.12,49.16,27.81
14.19,49.15,27.77
14.4,49.12,27.78
14.27,49.17,27.79
14.37,49.13,27.82
14.35,49.15,27.81
14.22,49.15,27.82
14.39,49.14,27.82
14.35,49.12,27.84
14.14,49.16,27.86
14.02,49.16,27.86
14,49.16,27.8
14.33,49.09,27.82
14.25,49.13,27.82
14.19,49.13,27.83
14.15,49.13,27.81
14.16,49.09,27.83
13.97,49.13,27.85
13.79,49.13,27.92
13.53,49.14,27.95
13.27,49.17,28.02
12.98,49.2,28.15
12.58,49.26,28.31
12.1,49.37,28.5
11.32,49.59,28.72
10.82,49.79,29.02
10.04,50.11,29.36
9.42,50.61,29.76
9.51,51.04,30.17
9.39,51.72,30.65
9.56,52.53,31.14
10.29,53.47,31.59
10.7,54.58,31.99
11.44,55.88,32.16
13.34,57.19,32.04
15.34,58.63,31.73
18.49,59.97,31.27
23.9,61.15,30.72
29.19,62.46,30.3
34.53,63.91,29.95
41.9,65.17,29.46
49.12,66.59,29.01
57.66,67.84,28.47
69.83,68.94,27.95
82.14,69.92,27.89
93.72,71.01,28.2
104.3,72.26,28.42
107.36,73.7,28.5
113.72,74.97,28.56
126.36,74.97,28.82
143.49,74.97,29.14
150.79,74.97,29.55
147.75,74.97,30.24
136.27,74.97,30.58
140.94,74.97,30.2
146.67,74.97,29.97
140.47,74.73,30.17
123.61,73.94,30.44
105.03,73.92,30.7
89.43,74.58,30.87
79.69,74.97,31.14
77.85,74.97,31.46
94.45,74.97,31.14
121.61,74.97,30.55
140.67,74.97,30.16
142.01,74.97,30.19
109.49,74.97,31.15
81.92,73.02,32.39
64.87,70.88,33.02
55.23,69.47,33.19
54.87,68.8,33.03
57.71,68.55,32.6
63.49,68.2,32.31
66.4,68.07,31.89
65.79,68.12,31.74
16.98,59.51,28.21
17.6,60.11,28.15
21.54,61.41,27.83
26.58,63.07,27.48
32.7,64.6,27.03
42.23,66.2,26.61
54.55,67.92,26.98
68.13,69.68,27.34
78.73,71.84,27.53
81.67,74.58,27.84
94.64,74.97,28.04
112.55,74.97,28.25
119.86,74.97,29.12
100.23,73.11,30.3
80.31,70.77,31.27
62.57,69.8,31.94
68.41,68.68,32.16
90.02,67.39,32.24
79.42,67.05,33.09
42.49,66.93,34.04
19.37,64.77,34.66
9.24,61.29,34.79
5.04,58.25,34.53
3.95,56.03,33.88
4.81,54.2,32.97
6.4,52.72,31.84
8.15,51.53,30.7
10.06,50.44,29.69
11.79,49.58,28.89
13.73,48.71,28.24
15.27,48.07,27.69
17.03,47.45,27.33
18.2,47,27.03
19.32,46.64,26.82
19.83,46.38,26.71
20.1,46.22,26.65
20.16,46.11,26.65
19.68,46.16,26.71
19.1,46.27,26.87
17.84,46.57,27.04
16.54,46.98,27.13
15.23,47.59,27.33
13.96,48.36,27.51
13.09,49.35,27.65
12.67,50.5,27.77
12.62,51.8,27.87
12.89,53.22,27.9
13.05,54.73,27.94
14.09,56.29,27.85
15.89,57.81,27.7
18.58,59.5,27.42
22.12,61.19,27.04
27.29,63.01,26.65
32.6,64.76,26.4
40.56,66.37,26.41
51.97,68.19,26.42
66.23,69.9,26.5
85.37,71.7,26.51
104.66,73.84,26.75
126.43,74.97,27.29
145.12,74.97,28
150.61,74.97,28.64
154.36,74.97,29.07
154.71,74.97,29.35
148.84,74.97,29.42
125.95,74.97,29.98
85.83,74.97,31.03
56.41,73.36,32.2
33.66,72.55,33.12
22.49,71.43,33.85
16.5,71.13,34.29
22.35,70.51,34.17
47.23,69.78,33.23
88.17,68.11,32.58
77.41,68.07,33.08
40.27,67.15,33.99
18.08,64.14,34.57
8.16,60.43,34.76
4.28,57.45,34.5
3.8,55.35,33.73
4.99,53.58,32.64
6.75,52.17,31.39
8.66,50.99,30.2
10.68,49.91,29.17
12.77,48.97,28.4
14.68,48.19,27.79
16.42,47.57,27.29
18.2,46.98,26.94
19.41,46.59,26.73
20.39,46.26,26.58
21.25,46.01,26.42
21.66,45.87,26.39
21.85,45.78,26.35
22.35,45.72,26.28
22.7,45.63,26.27
21.82,45.74,26.3
9.31,52.73,32.2
9.08,52.97,32.01
8.84,52.87,31.94
9.07,52.71,31.59
9.33,52.3,31.15
10.21,51.97,30.59
10.64,51.62,30.23
11.32,51.23,29.78
12.4,50.84,29.39
12.98,50.57,29.11
13.37,50.36,28.87
13.97,50.09,28.65
14.35,49.93,28.49
14.77,49.79,28.41
14.96,49.68,28.33
15.2,49.55,28.24
15.35,49.47,28.18
15.35,49.42,28.11
15.72,49.31,28.07
15.91,49.27,28.02
16.17,49.21,28.03
16.04,49.19,27.97
16.03,49.17,27.97
16.16,49.12,27.95
16.15,49.09,27.88
16.38,49.07,27.86
16.33,49,27.86
16.36,49.01,27.83
16.41,49.01,27.74
16.52,48.97,27.74
16.64,48.94,27.77
16.6,48.96,27.75
16.48,48.93,27.75
16.39,48.96,27.77
16.46,48.91,27.77
16.43,48.95,27.74
16.62,48.9,27.77
16.48,48.92,27.78
16.25,48.97,27.81
16.03,49.02,27.84
15.83,49.01,27.91
15.5,49.09,27.96
15.5,49.06,28.08
14.97,49.19,28.16
14.73,49.3,28.34
14.01,49.45,28.6
13.2,49.72,28.85
12.6,49.98,29.18
12.11,50.33,29.54
11.82,50.78,29.94
11.56,51.43,30.32
11.8,52.17,30.77
12.35,53.09,31.17
13.52,54.13,31.52
14.66,55.36,31.71
16.35,56.73,31.64
18.84,58.22,31.36
22.15,59.67,30.99
27.11,61.01,30.54
32.49,62.32,30.09
37.59,63.83,29.71
43.4,65.19,29.36
50.41,66.65,28.89
58.07,67.86,28.48
68.5,69.03,28.13
78.13,70.07,28.04
88.03,71.14,28.18
94.74,72.42,28.37
100.26,73.79,28.37
109.09,74.81,28.24
119.41,74.97,28.35
128.32,74.97,28.6
141.21,74.97,28.63
148.91,74.97,28.62
157.64,74.97,28.85
160.32,74.97,28.93
167.31,74.97,28.94
172.95,74.97,28.95
181.21,74.97,29.13
180.16,74.97,29.42
178.93,74.97,29.65
174.68,74.97,29.76
159.45,74.97,29.99
131.06,74.97,30.99
86.35,74.7,32.44
59.06,71.89,33.72
35.71,70.71,34.54
23.98,69.55,35.12
17.85,69.32,35.49
18.42,68.89,35.7
28.34,69.2,35.09
48.78,69.3,33.84
68.67,69.48,32.78
80.89,69.21,31.99
87.68,68.58,31.36
85.96,68.76,31.01
10.23,48.13,29.11
10.89,48.22,28.86
10.79,48.17,28.71
12.54,47.77,28.19
12.92,47.3,27.82
14.71,46.82,27.39
16.02,46.37,27.11
16.6,46.07,26.86
17.25,45.79,26.69
17.49,45.59,26.66
17.09,45.53,26.67
16.76,45.58,26.74
15.6,45.81,26.86
14.26,46.26,27
13.07,46.88,27.09
11.83,47.79,27.19
11.06,48.98,27.18
10.56,50.45,27.11
10.41,52.1,27
10.93,53.83,26.79
12.11,55.51,26.63
13.87,57.26,26.47
15.86,59.07,26.3
18.66,60.88,26.01
22.38,62.72,25.67
27.05,64.48,25.41
33.44,66.1,25.3
41.04,67.8,25.47
50.43,69.32,25.76
63.38,70.93,25.92
79.89,72.69,26.11
96.69,74.65,26.54
113.87,74.97,27.38
125.17,74.97,28.08
131.48,74.97,28.57
132.67,74.97,28.96
134.53,74.97,28.99
128.57,74.97,29.24
93.19,74.97,30.28
56.2,73.35,31.88
29.06,71.83,33.3
14.79,70.69,34.34
8.12,69.97,34.87
7.31,69.46,35.01
13.11,68.92,34.59
29.3,68.05,33.63
56.62,66.8,32.52
68.36,66.13,32.14
59.19,65.01,32.5
41.74,63.29,33.06
28,61.58,33.55
19.69,60.4,33.93
15.82,59.83,33.94
14.6,59.6,33.74
14.25,59.85,33.23
14.49,60.45,32.53
15.23,61.29,31.71
17.48,62.28,30.78
21.52,63.45,29.8
28.02,64.52,28.71
36.41,65.83,27.85
46.87,67.1,27.59
58.46,68.55,27.74
66.25,70.34,28.09
70.69,72.62,28.28
75.7,74.86,28.39
90.3,74.97,28.6
106.95,74.97,29
116.54,74.63,29.58
108.95,72.99,30.29
100.36,71.32,30.95
95,70.09,31.34
94.39,68.71,32.01
70.43,67.85,33.4
33.93,67.21,34.84
15.51,65.04,35.32
8.03,61.5,35.06
4.93,58.03,34.5
3.09,55.64,33.94
3.39,53.65,32.99
4.89,52.12,31.72
7.03,50.7,30.45
8.65,49.65,29.35
10.53,48.65,28.51
12.35,47.8,27.92
14.1,47.08,27.38
15.59,46.54,26.97
16.93,46.08,26.67
18.09,45.67,26.45
18.9,45.4,26.31
19.62,45.18,26.21
19.86,45.09,26.2
20.15,45.04,26.16
20.61,44.94,26.13
20.25,44.98,26.14
19.99,44.99,26.12
11.54,51.68,30.97
11.6,51.86,30.76
11.38,51.69,30.54
12.1,51.48,30.03
12.65,50.94,29.56
14.09,50.51,29.02
15.06,50.07,28.63
15.89,49.72,28.26
17.23,49.29,27.95
17.96,49.03,27.74
18.49,48.83,27.58
18.95,48.64,27.44
19.38,48.45,27.35
19.62,48.36,27.34
19.77,48.28,27.28
19.94,48.16,27.26
19.72,48.14,27.24
19.77,48.04,27.31
19.21,48.16,27.38
18.71,48.14,27.49
18.09,48.22,27.61
17.23,48.4,27.77
16.44,48.6,28.04
15.32,48.97,28.25
14.53,49.45,28.54
13.93,50.09,28.82
13.55,50.86,29.07
13.29,51.86,29.34
13.37,53.04,29.47
14.08,54.26,29.57
14.43,55.65,29.54
15.69,57,29.45
17.88,58.34,29.15
20.28,59.69,28.89
23.22,61.05,28.66
27.01,62.55,28.35
30.49,64.02,28.19
35.73,65.5,27.99
42.39,66.89,27.54
51.3,68.12,27.11
63.04,69.35,26.95
74.79,70.47,27.09
84.82,71.73,27.34
93.52,73.1,27.46
103.48,74.38,27.42
117.83,74.97,27.46
131.36,74.97,27.72
140.54,74.97,28.13
145.07,74.97,28.38
152.95,74.97,28.45
155.06,74.97,28.65
158.37,74.97,28.83
162.08,74.97,28.91
164.97,74.97,29.04
166.41,74.97,29.26
165.18,74.97,29.51
160.26,74.97,29.7
154.05,74.97,29.75
151.42,74.97,29.89
131.43,74.97,30.23
108.41,74.15,30.82
76.2,73.49,31.64
50.85,72.28,32.67
31.04,71.88,33.64
19.89,71.24,34.5
14.33,71.01,35.11
13.61,70.81,35.41
21.31,70.35,35.1
41.41,70.03,34.07
83.55,68.82,33.02
97.08,68.2,33.14
57.48,68.42,34.2
27.19,67.03,34.8
13.45,63.89,34.87
8.08,60.61,34.65
5.76,58.41,34.29
6.32,56.55,33.67
7.23,55.16,33
7.92,54.14,32.22
8.96,53.23,31.39
10.01,52.43,30.62
11.28,51.64,29.92
12.55,50.96,29.28
13.83,50.31,28.74
15.11,49.74,28.25
16.58,49.23,27.92
17.51,48.88,27.61
18.52,48.58,27.41
19.11,48.36,27.31
19.31,48.23,27.19
20.03,48.06,27.17
20,48,27.17
20.18,47.95,27.17
20.26,47.91,27.2
20.19,47.91,27.21
19.92,47.91,27.21
29.34,43.96,25.79
29.18,43.97,25.83
29.59,44.16,25.73
29.83,44.34,25.56
29.68,44.64,25.32
30.52,45.01,25.02
30.67,45.58,24.72
31.62,46.43,24.44
34.07,47.43,24.17
37.17,48.56,23.95
40.6,49.73,23.81
45.42,50.98,23.67
50.23,52.16,23.58
55.61,53.48,23.62
61.29,54.78,23.75
65.63,55.87,24.1
73.28,56.79,24.66
87.35,57.6,25.03
98.25,58.68,25.4
102.44,60.26,25.73
104.87,61.55,26.19
107.59,62.48,26.81
108.87,62.65,27
97.43,62.69,27.08
96,64.96,27.27
99.28,65.81,27.52
84.07,65.46,28.17
65.59,63.99,28.86
62.89,64.27,28.68
69.34,66.19,28.35
63.63,66.4,28.58
51.79,65.23,29.33
43.54,64.01,29.63
39.54,64.06,29.84
34.57,63.44,30.43
28.1,62.12,31.37
23.55,60.49,32.31
21.88,58.87,33.02
22.37,57.38,33.55
27,55.71,33.88
36.92,53.91,33.88
51.81,52.15,33.5
63.38,50.82,33.06
61.45,49.63,32.59
51.1,48.52,32
39.89,47.49,31.05
32.15,46.72,29.77
29.01,45.97,28.53
28,45.22,27.53
28.57,44.48,26.82
29.29,43.78,26.31
30.16,43.2,26.03
30.92,42.7,25.82
31.52,42.33,25.74
31.83,42.07,25.66
32.24,41.89,25.63
32.53,41.72,25.59
32.62,41.64,25.61
32.72,41.61,25.59
32.98,41.54,25.6
32.75,41.52,25.58
32.74,41.6,25.57
32.79,41.54,25.6
32.78,41.53,25.64
32.87,41.56,25.59
32.82,41.58,25.6
32.8,41.55,25.61
32.72,41.55,25.63
32.92,41.56,25.62
32.89,41.57,25.61
32.73,41.57,25.61
32.62,41.59,25.63
32.82,41.58,25.62
32.71,41.63,25.6
32.84,41.65,25.62
32.72,41.63,25.6
32.6,41.68,25.6
32.71,41.66,25.6
32.65,41.69,25.57
32.65,41.7,25.6
32.72,41.7,25.63
32.56,41.75,25.62
32.14,41.84,25.57
32.15,41.9,25.57
32.02,41.92,25.6
31.97,42.03,25.56
31.89,42.12,25.54
31.64,42.18,25.58
31.18,42.34,25.56
30.98,42.49,25.54
30.78,42.64,25.56
30.41,42.8,25.55
29.83,43.01,25.56
29.75,43.21,25.57
29.39,43.44,25.67
29.58,43.65,25.75
18.64,39.53,15.06
16.87,39.11,15.13
19.31,38.74,15.01
19.55,38.83,15.04
20.71,39.28,15.25
25.37,39.85,15.27
25.4,40.42,15.45
23.85,40.9,15.59
23.9,41.37,15.59
23.36,41.99,15.42
21.52,42.8,15.03
18.14,43.54,14.42
14.71,43.91,13.67
12.09,43.86,12.95
10.91,43.75,12.23
10.49,43.76,11.66
10.47,43.92,11.18
10.42,44.13,10.73
10.49,44.11,10.26
10.22,43.93,9.88
10.39,43.61,9.53
10.56,43.23,9.34
11.71,42.89,9.15
12.89,42.39,8.9
13.17,41.88,8.71
13.18,41.36,8.64
13.15,40.93,8.66
13.8,40.47,8.64
14.41,40.05,8.63
14.68,39.8,8.62
14.9,39.6,8.61
15.7,39.3,8.53
16.1,39.05,8.51
16.42,38.88,8.47
17.06,38.6,8.4
17.24,38.34,8.41
17.23,38.14,8.46
17.38,37.92,8.47
17.95,37.72,8.48
18.38,37.56,8.5
18.05,37.54,8.52
17.89,37.53,8.5
18.35,37.38,8.51
18.87,37.25,8.52
18.69,37.3,8.5
19.09,37.27,8.45
18.81,37.28,8.47
18.79,37.26,8.52
18.56,37.23,8.53
18.76,37.21,8.51
19.05,37.19,8.48
19.55,37.2,8.45
18.57,37.32,8.49
18.4,37.35,8.47
18.72,37.3,8.47
19.61,37.23,8.41
19.54,37.26,8.4
18.63,37.36,8.45
18.52,37.31,8.42
18.81,37.15,8.47
19.41,37.13,8.5
19.19,37.16,8.51
19.05,37.17,8.56
18.86,37.11,8.56
19.12,36.99,8.61
19.04,36.87,8.71
18.46,36.89,8.78
17.92,36.91,8.85
17.4,36.91,8.99
17.29,36.86,9.09
16.1,36.96,9.24
16.16,36.91,9.38
15.6,36.84,9.5
15.24,36.78,9.65
14.53,36.85,9.81
13.74,36.78,9.99
12.12,36.7,10.32
9.56,36.54,10.82
7.48,36.03,11.49
4.98,35.56,12.18
5.37,35.37,12.57
9.24,35.64,12.4
15.12,36.62,12.19
17.66,38.15,12.78
21.35,39.55,13.97
27.36,40.36,15.26
28.2,40.79,16.24
22.58,41.04,16.93
16.55,40.86,17.27
11.71,40.35,17.35
8.92,39.84,17.08
6.96,39.52,16.34
3.8,40.03,15.83
5.04,41.05,15.73
10.72,41.54,16.42
14.56,41.22,17.4
6.67,51.85,32.74
6.51,52.08,32.57
6.21,52.04,32.4
6.66,51.83,31.9
6.69,51.38,31.41
7.47,51.03,30.77
8.3,50.55,30.19
9.11,50.14,29.63
10.04,49.68,29.22
10.67,49.35,28.82
11.44,49,28.49
12.12,48.73,28.3
12.46,48.56,28.14
12.95,48.39,28.03
13.24,48.22,27.93
13.42,48.14,27.84
13.59,48.07,27.76
13.77,47.99,27.73
13.86,47.95,27.67
14.07,47.89,27.62
14.08,47.93,27.62
14.06,47.91,27.61
14.02,47.96,27.57
14.07,47.93,27.55
14.13,47.95,27.55
13.97,47.98,27.51
13.87,48,27.54
13.99,47.99,27.54
13.96,47.95,27.54
14.02,47.98,27.59
13.83,48.01,27.63
13.76,48.02,27.62
13.9,47.98,27.63
13.69,48,27.69
13.76,48,27.69
13.65,48.02,27.74
13.27,48.03,27.83
13.13,48.08,27.88
12.9,48.06,28.03
12.41,48.16,28.13
11.94,48.24,28.28
11.3,48.41,28.44
10.8,48.57,28.65
10.1,48.84,28.96
9.5,49.24,29.26
9.25,49.65,29.6
9.02,50.24,30.03
9.24,50.94,30.47
9.46,51.83,30.92
9.61,52.85,31.35
10.05,54.05,31.59
10.68,55.36,31.68
12.16,56.66,31.56
13.97,57.99,31.25
16.73,59.24,30.87
20.22,60.52,30.49
23.81,61.8,30.18
27.83,63.3,29.86
33.09,64.72,29.47
39.87,66.11,28.96
48.33,67.25,28.53
60.45,68.18,28.25
73.52,69,28.35
86.02,70.3,28.54
96.41,71.76,28.65
107.12,73.31,28.75
111.82,74.97,29.16
114.33,74.97,29.88
111.56,74.97,30.39
117.72,74.97,30.49
126.16,74.81,30.51
124.1,73.28,30.72
106.83,71.92,31
81.08,71.23,31.53
61.88,71.23,32.11
52.1,71.72,32.24
46.48,72.64,32.39
49.24,73.53,32.46
61.67,73.94,32.09
78.2,74.75,31.49
102.11,74.97,30.9
128.21,74.97,30.44
152.39,74.97,30.19
160.82,74.97,30.3
150.57,74.97,30.41
145.86,74.97,30.33
130.54,74.64,30.7
112.55,72.7,31.3
94.67,70.67,31.92
82.41,69.14,32.27
81.98,68.15,32.33
85.67,67.52,32.35
86.09,67.5,32.21
83.15,67.4,32.01
83.16,66.75,31.81
77.38,66.46,31.85
10.98,51.36,30.91
11.12,51.57,30.67
10.98,51.4,30.49
11.81,51.15,29.99
12.4,50.55,29.57
13.64,50.15,28.93
15.02,49.63,28.48
16.06,49.23,28.1
17.09,48.81,27.83
18.07,48.51,27.57
19.1,48.17,27.45
19.14,48.09,27.36
19.55,47.94,27.2
20.19,47.74,27.12
20.08,47.72,27.05
20.81,47.64,26.99
20.98,47.55,26.99
20.76,47.6,26.98
20.95,47.57,27
20.81,47.56,26.97
20.9,47.52,26.97
20.71,47.59,26.96
20.94,47.53,27.02
20.61,47.6,27.02
20.41,47.62,27.02
20.43,47.65,27.06
20.17,47.68,27.16
19.84,47.74,27.2
19.14,47.81,27.31
18.65,47.85,27.41
18.04,47.93,27.53
17.19,48.09,27.75
16.02,48.32,27.97
14.93,48.64,28.16
14.04,49.05,28.41
13.21,49.66,28.68
12.73,50.44,28.9
12.56,51.37,29.09
12.51,52.56,29.18
12.6,53.92,29.18
13.37,55.39,29.1
14.64,56.85,28.97
16.51,58.34,28.84
18.82,59.81,28.65
21.54,61.41,28.35
24.82,63.2,28.1
28.85,64.89,27.81
33.92,66.57,27.58
41.2,67.87,27.53
50.32,69.19,27.48
57.43,70.82,27.52
67.65,72.13,27.42
80.34,73.86,27.17
93.31,74.97,27.27
108.84,74.97,27.58
119.52,74.97,27.98
128.2,74.97,28.28
136.41,74.97,28.37
141.72,74.97,28.5
145.21,74.97,28.59
153.51,74.97,28.63
159.17,74.97,28.73
160.4,74.97,28.98
151.36,74.97,29.38
149.87,74.97,29.53
144.38,74.97,29.49
154.67,74.97,29.68
132.18,74.97,30.06
123.24,73.95,30.49
87.88,73.22,31.25
63.24,71.67,32.08
39.8,71.41,32.93
24.98,70.77,33.8
17.47,70.73,34.31
14.04,70.52,34.67
14.19,70.35,34.78
18.94,70.19,34.49
31.94,69.73,33.86
57.79,68.91,32.93
86.63,67.98,32.36
81.11,67.76,32.77
51.12,67.34,33.64
28.03,65.88,34.23
15.22,63.66,34.6
9.8,61.72,34.56
8.28,60.18,34.33
7.96,59.04,33.98
8.09,58.14,33.51
8.26,57.35,33.16
8.26,56.68,32.7
8.73,56.08,32.13
9.42,55.47,31.53
9.73,54.97,31.08
10.11,54.57,30.56
10.95,54.08,30.13
11.54,53.85,29.84
7.77,51.99,32.25
7.5,52.28,32.03
7.32,52.12,31.85
7.72,51.89,31.32
8.02,51.34,30.77
9.04,50.96,30.11
9.98,50.42,29.62
10.83,50.01,29.16
11.71,49.6,28.74
12.3,49.32,28.41
12.97,48.99,28.18
13.4,48.8,28
14.02,48.61,27.81
14.34,48.48,27.71
14.6,48.38,27.63
14.92,48.28,27.55
15.05,48.23,27.48
15.28,48.16,27.46
15.33,48.11,27.44
15.3,48.07,27.41
15.44,48.04,27.41
15.41,47.99,27.42
15.57,47.98,27.39
15.92,47.86,27.42
15.47,47.99,27.39
15.68,47.93,27.44
15.67,47.9,27.43
15.76,47.86,27.47
15.56,47.94,27.43
15.71,47.86,27.48
15.39,47.92,27.46
15.36,47.94,27.44
15.36,47.96,27.41
15.51,47.91,27.49
15.21,48.01,27.53
15.01,48.04,27.62
14.58,48.1,27.69
14.07,48.16,27.82
13.7,48.23,27.95
13.11,48.33,28.1
12.48,48.55,28.27
11.89,48.75,28.53
11.19,49.06,28.79
10.45,49.51,29.05
10.2,50.01,29.4
10.15,50.59,29.76
9.91,51.41,30.18
10.3,52.28,30.54
10.63,53.32,30.82
10.98,54.43,31.13
11.77,55.67,31.2
12.55,56.9,31.17
13.84,58.19,30.95
16.38,59.39,30.6
19.8,60.49,30.26
23.44,61.62,29.9
27.51,62.92,29.55
32.24,64.33,29.22
38.62,65.68,28.89
47.58,67.06,28.49
56.75,68.01,28.13
68.03,68.98,28.08
80.4,70.09,28.3
88.75,71.45,28.51
100.37,72.76,28.47
118.99,73.96,28.34
133.14,74.97,28.69
136.7,74.97,29.39
136.54,74.97,29.98
134.57,74.97,30.18
137.3,74.97,30.22
134.95,74.97,30.34
131.03,74.56,30.42
117.46,73.54,30.52
93.45,72.78,31.12
70.87,72.48,31.65
56.57,72.58,31.96
48.34,73.37,32.22
49.43,74.01,32.21
54.64,74.74,32.02
62.25,74.97,31.79
77.87,74.97,31.41
103.55,74.97,30.77
126.82,74.97,30.31
141.07,74.97,30.08
131.3,74.97,30.18
112.86,74.06,31.12
90.45,72.3,32.11
86.55,70.36,32.53
96.02,68.8,32.63
102.21,67.72,32.91
79.77,67.77,33.62
46.27,67.94,34.42
28.85,66.8,34.48
21.78,64.98,34.24
17.11,63.98,34.3
27.53,63.3,28.99
28.05,63.83,29
33.08,64.87,28.79
37.09,66.25,28.6
41.75,67.41,28.29
51.22,68.59,27.77
61.96,69.43,27.55
73.65,70.44,27.49
83.83,71.64,27.57
91.55,73,27.67
99.73,74.18,27.69
110.5,74.97,27.71
123.76,74.97,27.76
133.09,74.97,27.98
139.34,74.97,28.13
144.62,74.97,28.15
148.93,74.97,28.17
154.62,74.97,28.21
156.99,74.97,28.3
158.4,74.97,28.57
160.59,74.97,28.61
166.28,74.97,28.63
167.29,74.97,28.96
166.9,74.97,29.31
164.51,74.97,29.45
154.3,74.97,29.41
145.99,74.97,29.68
111.77,74.97,30.7
77.2,73.22,31.98
47.09,71.91,33.11
29.52,70.53,33.92
17.76,70.15,34.68
13,69.86,35.22
13.96,70.06,35.21
24.05,69.92,34.82
47.92,69.69,33.83
87.88,68.7,32.95
